show_id,type,title,country,date_added,release_year,rating,description,genre1,genre2,genre3,duration_numeric
s51,TV Show,Dharmakshetra,India,15-09-2021,2014,TV-PG,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",International TV Shows, TV Dramas, TV Sci-Fi & Fantasy,750
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Japan,15-09-2021,2002,TV-14,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",Action & Adventure, Anime Features, International Movies,99
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Japan,15-09-2021,2003,TV-14,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,Action & Adventure, Anime Features, International Movies,99
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Japan,15-09-2021,2004,TV-PG,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",Action & Adventure, Anime Features, International Movies,88
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Japan,15-09-2021,2001,TV-PG,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",Action & Adventure, Anime Features, International Movies,100
s56,TV Show,Nailed It,United States,15-09-2021,2021,TV-PG,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",Reality TV, Anime Features, International Movies,4500
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Japan,15-09-2021,2011,TV-14,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",Action & Adventure, Anime Features, International Movies,102
s58,Movie,Naruto Shippûden the Movie: Bonds,Japan,15-09-2021,2008,TV-PG,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",Action & Adventure, Anime Features, International Movies,93
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Japan,15-09-2021,2009,TV-PG,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",Action & Adventure, Anime Features, International Movies,96
s60,Movie,Naruto Shippuden: The Movie,Japan,15-09-2021,2007,TV-PG,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",Action & Adventure, Anime Features, International Movies,95
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Japan,15-09-2021,2010,TV-14,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",Action & Adventure, Anime Features, International Movies,85
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Japan,15-09-2021,2005,TV-PG,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",Action & Adventure, Anime Features, International Movies,97
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Japan,15-09-2021,2006,TV-PG,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",Action & Adventure, Anime Features, International Movies,95
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Japan,15-09-2021,2004,TV-PG,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",Action & Adventure, Anime Features, International Movies,83
s65,Movie,Nightbooks,Japan,15-09-2021,2021,TV-PG,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,Children & Family Movies, Anime Features, International Movies,103
s66,TV Show,Numberblocks,United Kingdom,15-09-2021,2021,TV-Y,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",Kids' TV, Anime Features, International Movies,4500
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,India,15-09-2021,2014,TV-G,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",Docuseries, International TV Shows, International Movies,750
s68,TV Show,Saved by the Bell,United States,15-09-2021,1994,TV-PG,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.",Kids' TV, TV Comedies, International Movies,6750
s69,Movie,Schumacher,United States,15-09-2021,2021,TV-14,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",Documentaries, International Movies, Sports Movies,113
s70,TV Show,Stories by Rabindranath Tagore,India,15-09-2021,2015,TV-PG,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,International TV Shows, TV Dramas, Sports Movies,750
s71,TV Show,Too Hot To Handle: Latino,India,15-09-2021,2021,TV-MA,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",International TV Shows, Reality TV, Romantic TV Shows,750
s72,Movie,A StoryBots Space Adventure,India,14-09-2021,2021,TV-Y,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,Children & Family Movies, Reality TV, Romantic TV Shows,13
s73,TV Show,Jack Whitehall: Travels with My Father,United Kingdom,14-09-2021,2021,TV-MA,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.",British TV Shows, Docuseries, International TV Shows,3750
s74,Movie,King of Boys,Nigeria,14-09-2021,2018,TV-MA,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",Dramas, International Movies, International TV Shows,182
s75,TV Show,The World's Most Amazing Vacation Rentals,Nigeria,14-09-2021,2021,TV-PG,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",Reality TV, International Movies, International TV Shows,1500
s76,Movie,You vs. Wild: Out Cold,Nigeria,14-09-2021,2021,TV-G,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",Children & Family Movies, International Movies, International TV Shows,106
s77,TV Show,Yowamushi Pedal,Japan,14-09-2021,2013,TV-14,"A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.",Anime Series, International TV Shows, International TV Shows,750
s78,Movie,Little Singham - Black Shadow,Japan,11/9/2021,2021,TV-Y7,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?,Children & Family Movies, Comedies, International TV Shows,48
s79,Movie,Tughlaq Durbar,Japan,11/9/2021,2020,TV-14,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,Comedies, Dramas, International Movies,145
s80,Movie,Tughlaq Durbar (Telugu),Japan,11/9/2021,2021,TV-14,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,Comedies, Dramas, International Movies,145
s81,Movie,Firedrake the Silver Dragon,Japan,10/9/2021,2021,TV-Y7,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",Children & Family Movies, Dramas, International Movies,93
s82,Movie,Kate,United States,10/9/2021,2021,R,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",Action & Adventure, Dramas, International Movies,106
s83,TV Show,Lucifer,United States,10/9/2021,2021,TV-14,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",Crime TV Shows, TV Comedies, TV Dramas,4500
s84,TV Show,Metal Shop Masters,United States,10/9/2021,2021,TV-MA,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",Reality TV, TV Comedies, TV Dramas,750
s85,Movie,Omo Ghetto: the Saga,Nigeria,10/9/2021,2020,TV-MA,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.",Action & Adventure, Comedies, Dramas,147
s86,TV Show,Pokémon Master Journeys: The Series,Nigeria,10/9/2021,2021,TV-Y7,"As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!",Anime Series, Kids' TV, Dramas,750
s87,Movie,Prey,Nigeria,10/9/2021,2021,TV-MA,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,International Movies, Thrillers, Dramas,87
s88,TV Show,Titipo Titipo,Nigeria,10/9/2021,2019,TV-Y,Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.,Kids' TV, Korean TV Shows, Dramas,1500
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Nigeria,9/9/2021,2021,PG-13,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",Documentaries, Sports Movies, Dramas,96
s90,TV Show,Mighty Raju,Nigeria,9/9/2021,2017,TV-Y7,"Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!",Kids' TV, Sports Movies, Dramas,3000
s91,Movie,Paradise Hills,"Spain, United States",9/9/2021,2019,TV-MA,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse.",Sci-Fi & Fantasy, Thrillers, Dramas,95
s92,Movie,The Women and the Murderer,France,9/9/2021,2021,TV-14,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.,Documentaries, International Movies, Dramas,92
s93,TV Show,Into the Night,Belgium,8/9/2021,2021,TV-MA,Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.,International TV Shows, TV Dramas, TV Mysteries,1500
s94,Movie,JJ+E,Belgium,8/9/2021,2021,TV-MA,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?",Dramas, International Movies, Romantic Movies,91
s95,Movie,Show Dogs,"United Kingdom, United States",8/9/2021,2018,PG,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.,Children & Family Movies, Comedies, Romantic Movies,90
s96,TV Show,The Circle,"United States, United Kingdom",8/9/2021,2021,TV-MA,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.",Reality TV, Comedies, Romantic Movies,2250
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,United States,7/9/2021,2018,TV-MA,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.",Documentaries, Music & Musicals, Romantic Movies,97
s98,TV Show,Kid Cosmic,United States,7/9/2021,2021,TV-Y7,A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.,Kids' TV, TV Comedies, TV Sci-Fi & Fantasy,1500
s99,TV Show,Octonauts: Above & Beyond,United Kingdom,7/9/2021,2021,TV-Y,"The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.",British TV Shows, Kids' TV, TV Sci-Fi & Fantasy,750
s100,TV Show,On the Verge,"France, United States",7/9/2021,2021,TV-MA,"Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA.",TV Comedies, TV Dramas, TV Sci-Fi & Fantasy,750
s101,TV Show,Tobot Galaxy Detectives,"France, United States",7/9/2021,2019,TV-Y7,"An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil.",Kids' TV, TV Dramas, TV Sci-Fi & Fantasy,1500
s102,Movie,Untold: Breaking Point,United States,7/9/2021,2021,TV-MA,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court.",Documentaries, Sports Movies, TV Sci-Fi & Fantasy,80
s103,TV Show,Countdown: Inspiration4 Mission to Space,United States,6/9/2021,2021,TV-14,"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission.",Docuseries, Science & Nature TV, TV Sci-Fi & Fantasy,750
s104,Movie,Shadow Parties,United States,6/9/2021,2020,TV-MA,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.,Dramas, International Movies, Thrillers,117
s105,TV Show,Tayo the Little Bus,South Korea,6/9/2021,2016,TV-Y,"As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day.",Kids' TV, Korean TV Shows, Thrillers,1500
s106,Movie,Angamaly Diaries,India,5/9/2021,2017,TV-14,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.",Action & Adventure, Comedies, Dramas,128
s107,TV Show,Bunk'd,United States,5/9/2021,2021,TV-G,"The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met.",Kids' TV, TV Comedies, Dramas,3750
s108,Movie,A Champion Heart,United States,4/9/2021,2018,G,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.",Children & Family Movies, Dramas, Dramas,90
s109,TV Show,Dive Club,Australia,3/9/2021,2021,TV-G,"On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing.",Kids' TV, TV Dramas, Teen TV Shows,750
s110,TV Show,La casa de papel,Spain,3/9/2021,2021,TV-MA,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,3750
s111,TV Show,Money Heist: From Tokyo to Berlin,Spain,3/9/2021,2021,TV-MA,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.",Docuseries, International TV Shows, Spanish-Language TV Shows,750
s112,TV Show,Sharkdog,"United States, Singapore",3/9/2021,2021,TV-Y,"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure.",Kids' TV, International TV Shows, Spanish-Language TV Shows,750
s113,Movie,Worth,"United States, Singapore",3/9/2021,2021,PG-13,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events.",Dramas, International TV Shows, Spanish-Language TV Shows,119
s114,Movie,Afterlife of the Party,"United States, Singapore",2/9/2021,2021,TV-PG,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.,Comedies, Romantic Movies, Spanish-Language TV Shows,110
s115,Movie,Anjaam,India,2/9/2021,1994,TV-14,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.",Dramas, International Movies, Thrillers,143
s116,Movie,Bright Star,"United Kingdom, Australia, France",2/9/2021,2009,PG,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.,Dramas, Romantic Movies, Thrillers,119
s117,Movie,Dhanak,India,2/9/2021,2015,TV-PG,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.,Comedies, Dramas, Independent Movies,114
s118,Movie,Final Account,"United Kingdom, United States",2/9/2021,2021,PG-13,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.,Documentaries, Dramas, Independent Movies,94
s119,Movie,Gurgaon,India,2/9/2021,2017,TV-14,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own.",Dramas, International Movies, Thrillers,106
s120,Movie,Here and There,India,2/9/2021,2020,TV-MA,"After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic.",Dramas, International Movies, Romantic Movies,99
s121,TV Show,Heroes of Goo Jit Zu,Australia,2/9/2021,2021,TV-Y7,"After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers.",Kids' TV, TV Comedies, Romantic Movies,750
s122,TV Show,Hotel Del Luna,Australia,2/9/2021,2019,TV-14,"When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world.",International TV Shows, Romantic TV Shows, TV Comedies,750
